label,syscall,trial,filter,avg_ns,p50_ns,p99_ns,min_ns,max_ns,count,stddev_ns
vanilla,execve,1,raw,3954,3835,4556,3552,49471,3946,1610
vanilla,execve,1,iqr,3837,3827,4100,3565,4123,3710,100
vanilla,openat,1,raw,1425,1261,5347,1206,132094,4030,2340
vanilla,openat,1,iqr,1277,1260,1400,1206,1425,3931,47
vanilla,connect,1,raw,27133,24873,53748,23025,486051,18596,10936
vanilla,connect,1,iqr,24850,24673,27589,23025,28219,15957,859
vanilla,execve,2,raw,4209,3832,17662,3536,488576,3943,8221
vanilla,execve,2,iqr,3847,3825,4209,3536,4245,3795,134
vanilla,openat,2,raw,1392,1269,2226,1198,128000,4545,2076
vanilla,openat,2,iqr,1270,1265,1361,1198,1364,3994,28
vanilla,connect,2,raw,26605,24715,48530,23476,550413,16952,11940
vanilla,connect,2,iqr,24749,24619,26694,23476,26933,14563,599
vanilla,execve,3,raw,4191,3842,8718,3590,443279,3554,7761
vanilla,execve,3,iqr,3861,3837,4177,3590,4227,3411,119
vanilla,openat,3,raw,1410,1275,2517,1216,125754,4470,2095
vanilla,openat,3,iqr,1281,1271,1396,1216,1426,4148,41
vanilla,connect,3,raw,27131,24930,54202,23231,495282,17133,8857
vanilla,connect,3,iqr,24944,24722,27690,23231,28263,14668,846
