label,syscall,trial,filter,avg_us,p50_us,p99_us,min_us,max_us,count,stddev_us
falco,execve,1,raw,10.28,9.62,25.16,8.62,541.94,413225,5.79
falco,execve,1,iqr,9.60,9.57,10.94,8.62,11.34,387581,0.51
falco,openat,1,raw,2.01,1.73,10.90,1.54,132.27,3555,2.71
falco,openat,1,iqr,1.75,1.72,2.17,1.54,2.24,3367,0.15
falco,connect,1,raw,29.39,27.25,60.82,23.92,800.21,1080675,10.43
falco,connect,1,iqr,26.94,26.89,32.84,23.92,33.15,929321,1.80
falco,execve,2,raw,10.55,9.89,25.86,8.64,503.12,279681,5.74
falco,execve,2,iqr,9.76,9.82,11.09,8.64,11.64,258209,0.56
falco,openat,2,raw,2.09,1.81,10.60,1.55,173.61,3445,3.29
falco,openat,2,iqr,1.82,1.80,2.33,1.55,2.49,3261,0.19
falco,connect,2,raw,29.11,27.32,60.79,23.64,604.99,806350,10.28
falco,connect,2,iqr,27.03,27.07,31.34,23.64,32.80,729955,1.65
falco,execve,3,raw,10.51,9.80,26.19,8.64,484.93,234874,5.08
falco,execve,3,iqr,9.72,9.73,11.16,8.64,11.58,214783,0.55
falco,openat,3,raw,1.96,1.74,10.68,1.55,144.78,3700,2.76
falco,openat,3,iqr,1.74,1.73,2.05,1.55,2.14,3577,0.12
falco,connect,3,raw,29.23,27.06,61.26,23.95,597.99,1443432,10.36
falco,connect,3,iqr,26.74,26.76,31.57,23.95,32.61,1231650,1.59
