label,syscall,trial,filter,avg_us,p50_us,p99_us,min_us,max_us,count,stddev_us
kloudknox,execve,1,raw,5.00,4.73,19.04,4.26,55.52,2867,2.09
kloudknox,execve,1,iqr,4.74,4.72,5.19,4.26,5.25,2739,0.18
kloudknox,openat,1,raw,3.32,2.27,21.91,1.91,125.10,1979,4.45
kloudknox,openat,1,iqr,2.43,2.25,3.84,1.91,3.99,1795,0.42
kloudknox,connect,1,raw,35.72,33.36,66.42,29.51,616.27,12090,11.82
kloudknox,connect,1,iqr,33.38,33.10,38.41,29.51,39.48,10714,1.66
kloudknox,execve,2,raw,5.78,5.11,19.58,4.38,148.65,3079,3.98
kloudknox,execve,2,iqr,5.05,5.04,5.79,4.38,6.14,2592,0.28
kloudknox,openat,2,raw,2.81,2.16,17.90,1.70,141.17,2546,3.90
kloudknox,openat,2,iqr,2.27,2.11,3.54,1.70,3.57,2257,0.46
kloudknox,connect,2,raw,33.66,30.76,61.18,28.44,534.11,11359,10.88
kloudknox,connect,2,iqr,30.77,30.48,34.36,28.44,34.98,9490,1.03
kloudknox,execve,3,raw,5.56,4.94,19.56,4.20,127.23,3628,3.51
kloudknox,execve,3,iqr,4.95,4.92,5.47,4.41,5.59,3382,0.20
kloudknox,openat,3,raw,2.70,2.12,17.70,1.68,145.93,2583,3.69
kloudknox,openat,3,iqr,2.15,2.06,3.29,1.68,3.34,2239,0.36
kloudknox,connect,3,raw,33.09,30.69,57.51,29.01,508.34,11634,9.92
kloudknox,connect,3,iqr,30.78,30.54,33.40,29.01,34.19,9942,0.84
