label,syscall,trial,filter,avg_us,p50_us,p99_us,min_us,max_us,count,stddev_us
tetragon,execve,1,raw,7.44,6.78,21.86,5.93,484.67,55500,4.61
tetragon,execve,1,iqr,6.79,6.75,7.58,5.93,7.73,51273,0.30
tetragon,openat,1,raw,5.51,5.26,21.04,2.46,144.42,2484,4.43
tetragon,openat,1,iqr,4.81,4.93,8.36,2.46,8.64,2302,1.24
tetragon,connect,1,raw,36.65,33.36,74.92,27.83,636.08,1297439,11.93
tetragon,connect,1,iqr,33.35,33.04,38.92,27.96,39.89,1100438,1.68
tetragon,execve,2,raw,7.48,6.88,21.84,6.02,513.45,54726,5.25
tetragon,execve,2,iqr,6.89,6.85,7.71,6.02,7.87,50634,0.31
tetragon,openat,2,raw,5.33,4.69,20.58,2.52,178.91,2560,4.59
tetragon,openat,2,iqr,4.81,4.67,7.28,2.52,8.23,2475,1.19
tetragon,connect,2,raw,36.04,33.11,72.75,27.87,668.34,438731,11.71
tetragon,connect,2,iqr,33.04,32.86,37.24,28.67,38.21,377008,1.42
tetragon,execve,3,raw,7.32,6.77,21.48,5.93,471.69,56815,4.02
tetragon,execve,3,iqr,6.78,6.75,7.50,6.04,7.65,52834,0.28
tetragon,openat,3,raw,5.61,4.74,24.57,2.66,159.94,2191,4.80
tetragon,openat,3,iqr,4.94,4.72,7.36,2.66,8.14,2102,1.09
tetragon,connect,3,raw,36.31,32.77,71.34,28.41,526.58,15321,13.45
tetragon,connect,3,iqr,32.73,32.35,38.92,28.41,40.35,12611,1.74
