label,syscall,trial,filter,avg_us,p50_us,p99_us,min_us,max_us,count,stddev_us
vanilla,execve,1,raw,3.98,3.77,7.36,3.49,54.70,6487,1.55
vanilla,execve,1,iqr,3.77,3.75,4.10,3.49,4.14,5955,0.12
vanilla,openat,1,raw,1.46,1.28,2.82,1.21,144.66,4328,2.38
vanilla,openat,1,iqr,1.29,1.27,1.48,1.21,1.50,3961,0.06
vanilla,connect,1,raw,26.92,24.79,50.42,23.47,519.45,15106,10.62
vanilla,connect,1,iqr,24.83,24.69,26.81,23.47,27.27,12964,0.62
vanilla,execve,2,raw,4.22,3.82,7.71,3.53,149.54,3977,2.98
vanilla,execve,2,iqr,3.82,3.79,4.24,3.53,4.34,3432,0.14
vanilla,openat,2,raw,1.51,1.32,7.85,1.20,121.02,3852,2.36
vanilla,openat,2,iqr,1.32,1.32,1.46,1.20,1.54,3718,0.06
vanilla,connect,2,raw,26.50,24.80,46.74,23.46,504.01,16726,8.90
vanilla,connect,2,iqr,24.82,24.71,26.66,23.46,26.94,14448,0.58
vanilla,execve,3,raw,3.96,3.75,7.64,3.49,122.74,3992,2.57
vanilla,execve,3,iqr,3.77,3.74,4.12,3.49,4.16,3844,0.13
vanilla,openat,3,raw,1.60,1.28,5.09,1.20,467.26,3852,7.96
vanilla,openat,3,iqr,1.29,1.27,1.43,1.20,1.50,3459,0.05
vanilla,connect,3,raw,27.19,24.99,53.94,23.23,481.73,15491,8.97
vanilla,connect,3,iqr,24.98,24.75,27.72,23.23,28.42,13129,0.84
