label,concurrency,trial,total_reqs,rps,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,failed,transfer_kbps
vanilla,100,1,300000,27193.08,3.677,2,4,10,35,43,0,4673.81
vanilla,200,1,300000,26483.96,7.552,5,16,32,37,49,0,4551.93
vanilla,300,1,300000,26784.94,11.200,7,33,38,42,53,0,4603.66
vanilla,400,1,300000,26987.43,14.822,10,39,44,49,271,0,4638.47
vanilla,500,1,300000,27297.33,18.317,14,32,34,40,260,0,4691.73
vanilla,100,2,300000,26863.16,3.723,2,4,18,26,33,0,4617.11
vanilla,200,2,300000,26040.21,7.680,5,21,25,29,41,0,4475.66
vanilla,300,2,300000,26171.76,11.463,8,25,30,35,72,0,4498.27
vanilla,400,2,300000,26854.97,14.895,11,28,32,40,242,0,4615.70
vanilla,500,2,300000,27909.05,17.915,14,32,34,38,254,0,4796.87
vanilla,100,3,300000,27235.75,3.672,2,4,18,24,34,0,4681.14
vanilla,200,3,300000,25705.19,7.781,5,19,25,33,47,0,4418.08
vanilla,300,3,300000,26082.93,11.502,8,29,33,37,49,0,4483.00
vanilla,400,3,300000,27335.97,14.633,10,30,33,37,238,0,4698.37
vanilla,500,3,300000,27812.73,17.977,12,31,34,37,259,0,4780.31
