label,rps_target,connections,trial,latency_us,percentile
vanilla,10000,10,1,254.000,0.000000
vanilla,10000,10,1,295.000,0.000167
vanilla,10000,10,1,307.000,0.000333
vanilla,10000,10,1,315.000,0.000500
vanilla,10000,10,1,322.000,0.000667
vanilla,10000,10,1,327.000,0.000833
vanilla,10000,10,1,332.000,0.001000
vanilla,10000,10,1,336.000,0.001167
vanilla,10000,10,1,340.000,0.001333
vanilla,10000,10,1,345.000,0.001500
vanilla,10000,10,1,348.000,0.001667
vanilla,10000,10,1,352.000,0.001833
vanilla,10000,10,1,356.000,0.002000
vanilla,10000,10,1,359.000,0.002167
vanilla,10000,10,1,362.000,0.002333
vanilla,10000,10,1,365.000,0.002500
vanilla,10000,10,1,369.000,0.002667
vanilla,10000,10,1,371.000,0.002833
vanilla,10000,10,1,375.000,0.003000
vanilla,10000,10,1,377.000,0.003167
vanilla,10000,10,1,380.000,0.003333
vanilla,10000,10,1,383.000,0.003500
vanilla,10000,10,1,385.000,0.003667
vanilla,10000,10,1,388.000,0.003833
vanilla,10000,10,1,390.000,0.004000
vanilla,10000,10,1,392.000,0.004167
vanilla,10000,10,1,394.000,0.004333
vanilla,10000,10,1,396.000,0.004500
vanilla,10000,10,1,398.000,0.004667
vanilla,10000,10,1,400.000,0.004833
vanilla,10000,10,1,402.000,0.005000
vanilla,10000,10,1,404.000,0.005167
vanilla,10000,10,1,406.000,0.005333
vanilla,10000,10,1,408.000,0.005500
vanilla,10000,10,1,411.000,0.005667
vanilla,10000,10,1,412.000,0.005833
vanilla,10000,10,1,414.000,0.006000
vanilla,10000,10,1,416.000,0.006167
vanilla,10000,10,1,417.000,0.006333
vanilla,10000,10,1,419.000,0.006500
vanilla,10000,10,1,421.000,0.006667
vanilla,10000,10,1,422.000,0.006833
vanilla,10000,10,1,424.000,0.007000
vanilla,10000,10,1,426.000,0.007167
vanilla,10000,10,1,427.000,0.007333
vanilla,10000,10,1,429.000,0.007500
vanilla,10000,10,1,430.000,0.007667
vanilla,10000,10,1,432.000,0.007833
vanilla,10000,10,1,433.000,0.008000
vanilla,10000,10,1,435.000,0.008167
vanilla,10000,10,1,437.000,0.008333
vanilla,10000,10,1,438.000,0.008500
vanilla,10000,10,1,439.000,0.008667
vanilla,10000,10,1,441.000,0.008833
vanilla,10000,10,1,442.000,0.009000
vanilla,10000,10,1,444.000,0.009167
vanilla,10000,10,1,446.000,0.009333
vanilla,10000,10,1,447.000,0.009500
vanilla,10000,10,1,448.000,0.009667
vanilla,10000,10,1,449.000,0.009833
vanilla,10000,10,1,451.000,0.010000
vanilla,10000,10,1,452.000,0.010167
vanilla,10000,10,1,454.000,0.010333
vanilla,10000,10,1,455.000,0.010500
vanilla,10000,10,1,457.000,0.010667
vanilla,10000,10,1,458.000,0.010833
vanilla,10000,10,1,459.000,0.011000
vanilla,10000,10,1,461.000,0.011167
vanilla,10000,10,1,462.000,0.011333
vanilla,10000,10,1,462.000,0.011500
vanilla,10000,10,1,463.000,0.011667
vanilla,10000,10,1,464.000,0.011833
vanilla,10000,10,1,466.000,0.012000
vanilla,10000,10,1,467.000,0.012167
vanilla,10000,10,1,468.000,0.012333
vanilla,10000,10,1,469.000,0.012500
vanilla,10000,10,1,470.000,0.012667
vanilla,10000,10,1,471.000,0.012833
vanilla,10000,10,1,472.000,0.013000
vanilla,10000,10,1,474.000,0.013167
vanilla,10000,10,1,475.000,0.013333
vanilla,10000,10,1,476.000,0.013500
vanilla,10000,10,1,477.000,0.013667
vanilla,10000,10,1,478.000,0.013833
vanilla,10000,10,1,479.000,0.014000
vanilla,10000,10,1,480.000,0.014167
vanilla,10000,10,1,482.000,0.014333
vanilla,10000,10,1,482.000,0.014500
vanilla,10000,10,1,484.000,0.014667
vanilla,10000,10,1,484.000,0.014833
vanilla,10000,10,1,485.000,0.015000
vanilla,10000,10,1,487.000,0.015167
vanilla,10000,10,1,488.000,0.015333
vanilla,10000,10,1,489.000,0.015500
vanilla,10000,10,1,489.000,0.015667
vanilla,10000,10,1,490.000,0.015833
vanilla,10000,10,1,491.000,0.016000
vanilla,10000,10,1,492.000,0.016167
vanilla,10000,10,1,493.000,0.016333
vanilla,10000,10,1,494.000,0.016500
vanilla,10000,10,1,495.000,0.016667
vanilla,10000,10,1,496.000,0.016833
vanilla,10000,10,1,497.000,0.017000
vanilla,10000,10,1,498.000,0.017166
vanilla,10000,10,1,499.000,0.017333
vanilla,10000,10,1,499.000,0.017500
vanilla,10000,10,1,500.000,0.017666
vanilla,10000,10,1,501.000,0.017833
vanilla,10000,10,1,502.000,0.018000
vanilla,10000,10,1,503.000,0.018166
vanilla,10000,10,1,504.000,0.018333
vanilla,10000,10,1,505.000,0.018500
vanilla,10000,10,1,505.000,0.018666
vanilla,10000,10,1,506.000,0.018833
vanilla,10000,10,1,507.000,0.019000
vanilla,10000,10,1,508.000,0.019166
vanilla,10000,10,1,509.000,0.019333
vanilla,10000,10,1,509.000,0.019500
vanilla,10000,10,1,510.000,0.019666
vanilla,10000,10,1,511.000,0.019833
vanilla,10000,10,1,512.000,0.020000
vanilla,10000,10,1,513.000,0.020166
vanilla,10000,10,1,513.000,0.020333
vanilla,10000,10,1,514.000,0.020500
vanilla,10000,10,1,515.000,0.020666
vanilla,10000,10,1,516.000,0.020833
vanilla,10000,10,1,517.000,0.021000
vanilla,10000,10,1,518.000,0.021166
vanilla,10000,10,1,519.000,0.021333
vanilla,10000,10,1,519.000,0.021500
vanilla,10000,10,1,520.000,0.021666
vanilla,10000,10,1,521.000,0.021833
vanilla,10000,10,1,522.000,0.022000
vanilla,10000,10,1,522.000,0.022166
vanilla,10000,10,1,523.000,0.022333
vanilla,10000,10,1,524.000,0.022500
vanilla,10000,10,1,525.000,0.022666
vanilla,10000,10,1,526.000,0.022833
vanilla,10000,10,1,527.000,0.023000
vanilla,10000,10,1,528.000,0.023166
vanilla,10000,10,1,529.000,0.023333
vanilla,10000,10,1,530.000,0.023500
vanilla,10000,10,1,530.000,0.023666
vanilla,10000,10,1,531.000,0.023833
vanilla,10000,10,1,532.000,0.024000
vanilla,10000,10,1,532.000,0.024166
vanilla,10000,10,1,533.000,0.024333
vanilla,10000,10,1,534.000,0.024500
vanilla,10000,10,1,535.000,0.024666
vanilla,10000,10,1,535.000,0.024833
vanilla,10000,10,1,536.000,0.025000
vanilla,10000,10,1,537.000,0.025166
vanilla,10000,10,1,538.000,0.025333
vanilla,10000,10,1,539.000,0.025500
vanilla,10000,10,1,539.000,0.025666
vanilla,10000,10,1,540.000,0.025833
vanilla,10000,10,1,541.000,0.026000
vanilla,10000,10,1,542.000,0.026166
vanilla,10000,10,1,542.000,0.026333
vanilla,10000,10,1,543.000,0.026500
vanilla,10000,10,1,544.000,0.026666
vanilla,10000,10,1,545.000,0.026833
vanilla,10000,10,1,545.000,0.027000
vanilla,10000,10,1,546.000,0.027166
vanilla,10000,10,1,547.000,0.027333
vanilla,10000,10,1,547.000,0.027500
vanilla,10000,10,1,548.000,0.027666
vanilla,10000,10,1,549.000,0.027833
vanilla,10000,10,1,550.000,0.028000
vanilla,10000,10,1,550.000,0.028166
