label,concurrency,trial,total_reqs,rps,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,failed,transfer_kbps
falco,1000,1,2000000,28332.08,35296.0,25000.0,62000.0,68000.0,79000.0,475000.0,0,4869.58
falco,2000,1,2000000,33581.23,59557.0,56000.0,83000.0,93000.0,152000.0,1976000.0,0,5771.77
falco,4000,1,2000000,40412.70,98979.0,87000.0,134000.0,193000.0,339000.0,2116000.0,0,6945.93
falco,6000,1,2000000,32442.11,184945.0,120000.0,320000.0,389000.0,613000.0,21994000.0,0,5575.99
falco,1000,2,2000000,28503.96,35083.0,26000.0,62000.0,67000.0,79000.0,518000.0,0,4899.12
falco,2000,2,2000000,33991.24,58839.0,55000.0,83000.0,92000.0,130000.0,770000.0,0,5842.24
falco,4000,2,2000000,39449.25,101396.0,87000.0,136000.0,215000.0,367000.0,3667000.0,0,6780.34
falco,6000,2,2000000,36741.53,163303.0,120000.0,335000.0,387000.0,605000.0,14798000.0,0,6314.95
falco,1000,3,2000000,28427.19,35178.0,24000.0,64000.0,68000.0,81000.0,458000.0,0,4885.92
falco,2000,3,2000000,34099.91,58651.0,55000.0,85000.0,93000.0,170000.0,780000.0,0,5860.92
falco,4000,3,2000000,42129.62,94945.0,85000.0,124000.0,175000.0,329000.0,2241000.0,0,7241.03
falco,6000,3,2000000,36577.32,164036.0,118000.0,319000.0,373000.0,604000.0,8940000.0,0,6286.73
