label,concurrency,trial,total_reqs,rps,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,failed,transfer_kbps
kloudknox,1000,1,2000000,29854.65,33496.0,26000.0,64000.0,69000.0,77000.0,458000.0,0,5131.27
kloudknox,2000,1,2000000,34433.31,58083.0,52000.0,83000.0,89000.0,273000.0,790000.0,0,5918.23
kloudknox,4000,1,2000000,42183.95,94823.0,93000.0,122000.0,151000.0,326000.0,1796000.0,0,7250.37
kloudknox,6000,1,2000000,40830.20,146950.0,109000.0,198000.0,326000.0,546000.0,15280000.0,0,7017.69
kloudknox,1000,2,2000000,30138.39,33180.0,26000.0,63000.0,69000.0,77000.0,478000.0,0,5180.04
kloudknox,2000,2,2000000,34784.08,57498.0,53000.0,83000.0,89000.0,239000.0,743000.0,0,5978.51
kloudknox,4000,2,2000000,43880.28,91157.0,88000.0,120000.0,147000.0,330000.0,1973000.0,0,7541.92
kloudknox,6000,2,2000000,46654.30,128605.0,112000.0,171000.0,295000.0,410000.0,8171000.0,0,8018.71
kloudknox,1000,3,2000000,30012.86,33319.0,27000.0,61000.0,68000.0,76000.0,473000.0,0,5158.46
kloudknox,2000,3,2000000,34340.75,58240.0,53000.0,84000.0,90000.0,259000.0,732000.0,0,5902.32
kloudknox,4000,3,2000000,43405.80,92154.0,92000.0,121000.0,145000.0,321000.0,1560000.0,0,7460.37
kloudknox,6000,3,2000000,41497.39,144587.0,112000.0,291000.0,344000.0,564000.0,7838000.0,0,7132.36
