label,rps_target,connections,trial,latency_us,percentile
kloudknox,10000,10,1,254.000,0.000000
kloudknox,10000,10,1,293.000,0.000167
kloudknox,10000,10,1,304.000,0.000333
kloudknox,10000,10,1,311.000,0.000500
kloudknox,10000,10,1,318.000,0.000667
kloudknox,10000,10,1,325.000,0.000833
kloudknox,10000,10,1,331.000,0.001000
kloudknox,10000,10,1,336.000,0.001167
kloudknox,10000,10,1,342.000,0.001333
kloudknox,10000,10,1,347.000,0.001500
kloudknox,10000,10,1,351.000,0.001667
kloudknox,10000,10,1,356.000,0.001833
kloudknox,10000,10,1,360.000,0.002000
kloudknox,10000,10,1,366.000,0.002167
kloudknox,10000,10,1,369.000,0.002333
kloudknox,10000,10,1,372.000,0.002500
kloudknox,10000,10,1,376.000,0.002667
kloudknox,10000,10,1,380.000,0.002833
kloudknox,10000,10,1,383.000,0.003000
kloudknox,10000,10,1,387.000,0.003167
kloudknox,10000,10,1,389.000,0.003333
kloudknox,10000,10,1,392.000,0.003500
kloudknox,10000,10,1,394.000,0.003667
kloudknox,10000,10,1,397.000,0.003833
kloudknox,10000,10,1,399.000,0.004000
kloudknox,10000,10,1,402.000,0.004167
kloudknox,10000,10,1,405.000,0.004333
kloudknox,10000,10,1,407.000,0.004500
kloudknox,10000,10,1,409.000,0.004667
kloudknox,10000,10,1,412.000,0.004833
kloudknox,10000,10,1,414.000,0.005000
kloudknox,10000,10,1,416.000,0.005167
kloudknox,10000,10,1,419.000,0.005333
kloudknox,10000,10,1,421.000,0.005500
kloudknox,10000,10,1,423.000,0.005667
kloudknox,10000,10,1,426.000,0.005833
kloudknox,10000,10,1,429.000,0.006000
kloudknox,10000,10,1,431.000,0.006167
kloudknox,10000,10,1,434.000,0.006333
kloudknox,10000,10,1,436.000,0.006500
kloudknox,10000,10,1,438.000,0.006667
kloudknox,10000,10,1,439.000,0.006833
kloudknox,10000,10,1,441.000,0.007000
kloudknox,10000,10,1,443.000,0.007167
kloudknox,10000,10,1,445.000,0.007333
kloudknox,10000,10,1,447.000,0.007500
kloudknox,10000,10,1,449.000,0.007667
kloudknox,10000,10,1,450.000,0.007833
kloudknox,10000,10,1,452.000,0.008000
kloudknox,10000,10,1,454.000,0.008167
kloudknox,10000,10,1,455.000,0.008333
kloudknox,10000,10,1,457.000,0.008500
kloudknox,10000,10,1,458.000,0.008667
kloudknox,10000,10,1,460.000,0.008833
kloudknox,10000,10,1,462.000,0.009000
kloudknox,10000,10,1,464.000,0.009167
kloudknox,10000,10,1,465.000,0.009333
kloudknox,10000,10,1,467.000,0.009500
kloudknox,10000,10,1,468.000,0.009667
kloudknox,10000,10,1,470.000,0.009833
kloudknox,10000,10,1,471.000,0.010000
kloudknox,10000,10,1,473.000,0.010167
kloudknox,10000,10,1,474.000,0.010333
kloudknox,10000,10,1,476.000,0.010500
kloudknox,10000,10,1,477.000,0.010667
kloudknox,10000,10,1,479.000,0.010833
kloudknox,10000,10,1,480.000,0.011000
kloudknox,10000,10,1,482.000,0.011167
kloudknox,10000,10,1,483.000,0.011333
kloudknox,10000,10,1,485.000,0.011500
kloudknox,10000,10,1,486.000,0.011667
kloudknox,10000,10,1,488.000,0.011833
