label,rps_target,connections,trial,duration,p50_us,p75_us,p90_us,p99_us,p999_us,mean_us,actual_rps,total_reqs,transfer_kbps,errors,saturated
kloudknox,10000,10,1,30s,1380.00,1760.00,2210.00,10240.00,22190.00,1624.00,9999.08,299965,1720.32,0,0
kloudknox,10000,50,1,30s,1420.00,1870.00,2310.00,2860.00,3240.00,1503.00,9909.83,297297,1699.84,0,0
kloudknox,10000,100,1,30s,1360.00,1790.00,2280.00,2850.00,3230.00,1460.00,9901.96,297077,1699.84,0,0
kloudknox,10000,500,1,30s,2530.00,3820.00,5550.00,8230.00,10410.00,2973.00,9725.19,291784,1669.12,0,0
kloudknox,10000,1000,1,30s,2420.00,3140.00,3800.00,5780.00,10850.00,2509.00,9660.89,289842,1658.88,0,0
kloudknox,10000,10,2,30s,1540.00,2510.00,10490.00,86650.00,91900.00,8712.00,9998.62,299959,1720.32,0,0
kloudknox,10000,50,2,30s,1430.00,1920.00,2340.00,2860.00,3240.00,1515.00,9990.56,299739,1720.32,0,0
kloudknox,10000,100,2,30s,1370.00,1790.00,2270.00,2910.00,3470.00,1466.00,9902.23,297084,1699.84,0,0
kloudknox,10000,500,2,30s,2220.00,3120.00,4300.00,9730.00,12060.00,2631.00,9725.45,291785,1669.12,0,0
kloudknox,10000,1000,2,30s,2460.00,3270.00,4080.00,9140.00,12870.00,2688.00,9660.57,289843,1658.88,0,0
kloudknox,10000,10,3,30s,1660.00,2540.00,4490.00,10040.00,14840.00,2291.00,9998.88,299965,1720.32,0,0
kloudknox,10000,50,3,30s,1430.00,1900.00,2320.00,2860.00,3220.00,1508.00,9990.81,299739,1720.32,0,0
kloudknox,10000,100,3,30s,1500.00,1990.00,2520.00,3430.00,4090.00,1613.00,9822.25,294680,1689.60,0,0
kloudknox,10000,500,3,30s,1700.00,2400.00,3560.00,7820.00,11840.00,2085.00,9784.88,293571,1679.36,0,0
kloudknox,10000,1000,3,30s,2240.00,2940.00,3630.00,8040.00,10940.00,2425.00,9660.60,289846,1658.88,0,0
