label,concurrency,trial,total_reqs,rps,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,failed,transfer_kbps
tetragon,100,1,300000,26859.60,3.723,2,4,10,35,44,0,4616.49
tetragon,200,1,300000,25810.38,7.749,5,17,33,39,58,0,4436.16
tetragon,300,1,300000,26731.37,11.210,7,34,39,43,54,0,4594.46
tetragon,400,1,300000,26794.67,14.928,11,40,45,50,272,0,4605.33
tetragon,500,1,300000,27242.74,18.327,15,33,36,41,261,0,4682.35
tetragon,100,2,300000,26809.43,3.733,2,4,19,27,36,0,4607.87
tetragon,200,2,300000,25887.78,7.726,5,22,27,36,48,0,4449.46
tetragon,300,2,300000,26119.42,11.473,9,26,31,36,73,0,4489.27
tetragon,400,2,300000,26801.26,14.905,12,40,43,46,243,0,4606.46
tetragon,500,2,300000,27853.23,17.925,15,35,38,42,255,0,4787.27
tetragon,100,3,300000,27177.79,3.679,2,4,19,39,50,0,4671.18
tetragon,200,3,300000,25653.78,7.791,5,20,30,35,51,0,4409.24
tetragon,300,3,300000,26030.76,11.512,9,35,40,43,52,0,4474.04
tetragon,400,3,300000,27236.00,14.686,11,40,44,48,256,0,4681.19
tetragon,500,3,300000,27757.10,17.987,13,34,36,41,260,0,4770.75
