label,concurrency,trial,total_reqs,rps,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,failed,transfer_kbps
vanilla,1000,1,2000000,30513.15,32773.0,24000.0,64000.0,69000.0,75000.0,472000.0,0,5244.45
vanilla,2000,1,2000000,34747.45,57558.0,52000.0,83000.0,90000.0,251000.0,960000.0,0,5972.22
vanilla,4000,1,2000000,42645.70,93796.0,93000.0,121000.0,147000.0,322000.0,1677000.0,0,7329.73
vanilla,6000,1,2000000,49195.45,121962.0,108000.0,169000.0,207000.0,371000.0,3752000.0,0,8455.47
vanilla,1000,2,2000000,30206.22,33106.0,25000.0,64000.0,69000.0,77000.0,451000.0,0,5191.69
vanilla,2000,2,2000000,34235.17,58419.0,52000.0,84000.0,89000.0,264000.0,1721000.0,0,5884.17
vanilla,4000,2,2000000,43890.54,91136.0,91000.0,116000.0,143000.0,322000.0,1474000.0,0,7543.69
vanilla,6000,2,2000000,38698.85,155043.0,112000.0,286000.0,359000.0,605000.0,32641000.0,0,6651.36
vanilla,1000,3,2000000,30603.12,32676.0,26000.0,61000.0,68000.0,76000.0,458000.0,0,5259.91
vanilla,2000,3,2000000,34687.64,57657.0,53000.0,83000.0,89000.0,185000.0,754000.0,0,5961.94
vanilla,4000,3,2000000,44065.09,90775.0,90000.0,120000.0,143000.0,323000.0,1160000.0,0,7573.69
vanilla,6000,3,2000000,44812.77,133890.0,111000.0,190000.0,322000.0,487000.0,16465000.0,0,7702.19
