label,rule_count,trial,ops_sec,latency_us,N
vanilla,10,1,88583.4,11.2888,1000
vanilla,10,2,88528.5,11.2958,1000
vanilla,10,3,87413.4,11.4399,1000
vanilla,50,1,88229.3,11.3341,1000
vanilla,50,2,87074.6,11.4844,1000
vanilla,50,3,87214.4,11.4660,1000
vanilla,100,1,86956.5,11.5000,1000
vanilla,100,2,87649.3,11.4091,1000
vanilla,100,3,87033.0,11.4899,1000
vanilla,250,1,87279.1,11.4575,1000
vanilla,250,2,88096.4,11.3512,1000
vanilla,250,3,88202.1,11.3376,1000
vanilla,500,1,88183.4,11.3400,1000
vanilla,500,2,87490.6,11.4298,1000
vanilla,500,3,88280.7,11.3275,1000
