label,concurrency,rule_count,trials,avg_rps,std_rps,avg_mean_us,std_mean_us,avg_p50_us,std_p50_us,avg_p99_us,std_p99_us,avg_max_us,std_max_us
falco,1,1,3,3688.05,22.79,271.0,1.6,0.0,0.0,0.0,0.0,1333.3,471.4
falco,1,5,3,3687.65,19.08,271.0,1.6,0.0,0.0,0.0,0.0,1000.0,0.0
falco,1,10,3,3691.84,18.47,270.7,1.2,0.0,0.0,0.0,0.0,1000.0,0.0
falco,1,50,3,3648.18,10.15,274.3,0.9,0.0,0.0,0.0,0.0,1000.0,0.0
falco,1,100,3,3644.07,7.72,274.3,0.5,0.0,0.0,0.0,0.0,1000.0,0.0
falco,5,1,3,16810.73,35.48,297.3,0.5,0.0,0.0,0.0,0.0,1000.0,0.0
falco,5,5,3,16750.90,16.68,298.7,0.5,0.0,0.0,0.0,0.0,1000.0,0.0
falco,5,10,3,16764.38,17.66,298.3,0.5,0.0,0.0,0.0,0.0,1000.0,0.0
falco,5,50,3,16545.45,31.70,302.0,0.8,0.0,0.0,0.0,0.0,1000.0,0.0
falco,5,100,3,16573.58,124.72,301.7,2.5,0.0,0.0,0.0,0.0,1000.0,0.0
falco,10,1,3,18295.22,153.28,546.7,4.8,1000.0,0.0,1000.0,0.0,1000.0,0.0
falco,10,5,3,18209.70,34.04,549.3,0.9,1000.0,0.0,1000.0,0.0,1000.0,0.0
falco,10,10,3,18207.42,24.06,549.3,0.5,1000.0,0.0,1000.0,0.0,1000.0,0.0
falco,10,50,3,18270.00,143.26,547.3,4.1,1000.0,0.0,1000.0,0.0,1000.0,0.0
falco,10,100,3,18116.13,135.02,552.3,4.2,1000.0,0.0,1000.0,0.0,1000.0,0.0
falco,50,1,3,18243.32,37.58,2741.0,5.7,3000.0,0.0,3000.0,0.0,3666.7,471.4
falco,50,5,3,18200.53,37.27,2747.3,5.4,3000.0,0.0,3000.0,0.0,3666.7,471.4
falco,50,10,3,18236.73,4.74,2741.7,0.5,3000.0,0.0,3000.0,0.0,3666.7,471.4
falco,50,50,3,18226.65,30.85,2743.0,4.5,3000.0,0.0,3000.0,0.0,4333.3,471.4
falco,50,100,3,18234.83,32.64,2742.0,4.9,3000.0,0.0,3000.0,0.0,3666.7,471.4
falco,100,1,3,18115.82,27.41,5520.0,8.3,5000.0,0.0,6333.3,471.4,7666.7,942.8
falco,100,5,3,18048.93,18.62,5540.7,5.9,6000.0,0.0,6000.0,0.0,7000.0,0.0
falco,100,10,3,17957.44,157.80,5569.0,49.3,5666.7,471.4,6000.0,0.0,7000.0,0.0
falco,100,50,3,17971.54,39.35,5564.3,12.1,6000.0,0.0,6000.0,0.0,7000.0,0.0
falco,100,100,3,18118.13,128.97,5519.7,39.3,5333.3,471.4,6000.0,0.0,7000.0,0.0
