label,concurrency,rule_count,trial,total_reqs,rps,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,failed,transfer_kbps
falco,1,1,1,37178,3717.77,269.0,0.0,0.0,0.0,0.0,2000.0,0,620.84
falco,1,1,2,36840,3683.99,271.0,0.0,0.0,0.0,0.0,1000.0,0,615.20
falco,1,1,3,36624,3662.40,273.0,0.0,0.0,0.0,0.0,1000.0,0,611.59
falco,5,1,1,50000,16767.38,298.0,0.0,0.0,0.0,0.0,1000.0,0,2800.02
falco,5,1,2,50000,16854.28,297.0,0.0,0.0,0.0,0.0,1000.0,0,2814.53
falco,5,1,3,50000,16810.53,297.0,0.0,0.0,0.0,0.0,1000.0,0,2807.23
falco,10,1,1,50000,18164.37,551.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3033.31
falco,10,1,2,50000,18210.98,549.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3041.09
falco,10,1,3,50000,18510.32,540.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3091.08
falco,50,1,1,50000,18190.94,2749.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3037.74
falco,50,1,2,50000,18261.72,2738.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3049.56
falco,50,1,3,50000,18277.31,2736.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3052.17
falco,100,1,1,50000,18079.49,5531.0,5000.0,6000.0,6000.0,7000.0,9000.0,0,3019.13
falco,100,1,2,50000,18122.27,5518.0,5000.0,6000.0,6000.0,6000.0,7000.0,0,3026.28
falco,100,1,3,50000,18145.69,5511.0,5000.0,6000.0,6000.0,6000.0,7000.0,0,3030.19
falco,1,5,1,37112,3711.20,269.0,0.0,0.0,0.0,0.0,1000.0,0,619.74
falco,1,5,2,36873,3687.28,271.0,0.0,0.0,0.0,0.0,1000.0,0,615.75
falco,1,5,3,36645,3664.47,273.0,0.0,0.0,0.0,0.0,1000.0,0,611.94
falco,5,5,1,50000,16740.37,299.0,0.0,0.0,0.0,0.0,1000.0,0,2795.51
falco,5,5,2,50000,16737.88,299.0,0.0,0.0,0.0,0.0,1000.0,0,2795.09
falco,5,5,3,50000,16774.44,298.0,0.0,0.0,0.0,0.0,1000.0,0,2801.20
falco,10,5,1,50000,18257.55,548.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3048.87
falco,10,5,2,50000,18190.40,550.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3037.65
falco,10,5,3,50000,18181.16,550.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3036.11
falco,50,5,1,50000,18161.55,2753.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3032.84
falco,50,5,2,50000,18189.29,2749.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3037.47
falco,50,5,3,50000,18250.75,2740.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3047.73
falco,100,5,1,50000,18022.70,5549.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,3009.65
falco,100,5,2,50000,18059.98,5537.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,3015.87
falco,100,5,3,50000,18064.11,5536.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,3016.56
falco,1,10,1,37158,3715.75,269.0,0.0,0.0,0.0,0.0,1000.0,0,620.50
falco,1,10,2,36890,3688.97,271.0,0.0,0.0,0.0,0.0,1000.0,0,616.03
falco,1,10,3,36708,3670.79,272.0,0.0,0.0,0.0,0.0,1000.0,0,612.99
falco,5,10,1,50000,16744.24,299.0,0.0,0.0,0.0,0.0,1000.0,0,2796.16
falco,5,10,2,50000,16787.24,298.0,0.0,0.0,0.0,0.0,1000.0,0,2803.34
falco,5,10,3,50000,16761.65,298.0,0.0,0.0,0.0,0.0,1000.0,0,2799.06
falco,10,10,1,50000,18173.39,550.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3034.81
falco,10,10,2,50000,18224.36,549.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3043.33
falco,10,10,3,50000,18224.50,549.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3043.35
falco,50,10,1,50000,18243.21,2741.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3046.47
falco,50,10,2,50000,18234.94,2742.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3045.09
falco,50,10,3,50000,18232.03,2742.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3044.61
falco,100,10,1,50000,18095.49,5526.0,5000.0,6000.0,6000.0,6000.0,7000.0,0,3021.80
falco,100,10,2,50000,18040.25,5543.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,3012.58
falco,100,10,3,50000,17736.57,5638.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,2961.87
falco,1,50,1,36625,3662.47,273.0,0.0,0.0,0.0,0.0,1000.0,0,611.60
