label,concurrency,rule_count,avg_agent_cpu,std_agent_cpu,avg_agent_mem,std_agent_mem,avg_node_cpu,std_node_cpu,avg_node_mem,std_node_mem,samples
falco,1,1,9.47,25.71,344.1,193.9,1.0,0.7,2774.1,123.2,30
falco,1,5,18.21,32.70,346.9,190.8,1.1,0.8,2753.8,124.1,30
falco,1,10,19.05,32.53,345.1,189.2,1.1,0.7,2763.3,128.8,30
falco,1,50,59.68,3.19,465.1,12.9,2.7,0.3,2819.7,26.2,30
falco,1,100,75.00,2.31,458.9,0.8,3.1,0.2,2810.3,9.1,30
falco,5,1,17.23,1.14,458.4,0.5,3.0,0.3,2823.6,7.9,9
falco,5,5,23.87,0.92,461.2,0.4,3.1,0.3,2815.9,14.2,9
falco,5,10,32.11,1.28,458.4,0.4,3.3,0.4,2808.9,9.4,9
falco,5,50,100.83,3.43,461.4,0.7,6.8,0.4,2806.1,12.9,9
falco,5,100,100.75,2.30,460.8,0.4,6.3,0.3,2813.3,6.0,9
falco,10,1,18.23,0.56,458.3,0.1,3.5,0.3,2830.8,9.1,6
falco,10,5,24.89,1.22,463.0,0.6,3.1,0.1,2815.2,9.5,6
falco,10,10,33.50,1.69,459.1,0.4,3.4,0.2,2818.7,9.1,6
falco,10,50,99.99,3.00,463.0,0.6,6.9,0.5,2810.8,12.1,6
falco,10,100,100.83,1.85,459.2,1.0,6.5,0.3,2798.8,4.0,6
falco,50,1,18.06,0.69,458.5,0.2,3.4,0.3,2760.7,21.4,6
falco,50,5,24.52,1.05,463.5,0.1,3.3,0.3,2754.8,16.0,6
falco,50,10,33.44,1.35,459.7,0.5,3.5,0.2,2760.3,14.9,6
falco,50,50,100.54,1.92,464.0,0.1,7.0,0.3,2764.0,20.3,6
falco,50,100,99.68,2.23,459.5,0.4,6.7,0.3,2765.0,12.9,6
falco,100,1,53.40,41.54,492.4,26.0,4.3,1.0,2774.4,29.2,7
falco,100,5,24.45,1.29,464.1,0.3,3.4,0.3,2750.2,7.9,6
falco,100,10,32.53,1.97,461.5,0.3,3.7,0.4,2748.7,20.4,7
falco,100,50,99.58,3.34,463.7,0.2,7.0,0.2,2785.2,17.2,6
falco,100,100,99.83,2.09,461.1,0.4,6.8,0.2,2776.0,15.8,6
