label,rule_count,trial,ops_sec,latency_us,N
falco,10,1,88771.3,11.2649,1000
falco,10,2,69633.0,14.3610,1000
falco,10,3,69977.0,14.2904,1000
falco,50,1,71148.6,14.0551,1000
falco,50,2,70701.4,14.1440,1000
falco,50,3,73232.2,13.6552,1000
falco,100,1,88337.7,11.3202,1000
falco,100,2,70871.2,14.1101,1000
falco,100,3,71481.2,13.9897,1000
falco,500,1,87818.7,11.3871,1000
falco,500,2,75847.2,13.1844,1000
falco,500,3,75789.7,13.1944,1000
falco,1000,1,83586.9,11.9636,1000
falco,1000,2,86553.1,11.5536,1000
falco,1000,3,73738.2,13.5615,1000
