label,concurrency,rule_count,trials,avg_rps,std_rps,avg_mean_us,std_mean_us,avg_p50_us,std_p50_us,avg_p99_us,std_p99_us,avg_max_us,std_max_us
kloudknox,1,1,3,3459.23,5.49,289.3,0.5,0.0,0.0,0.0,0.0,1000.0,0.0
kloudknox,1,5,3,3457.18,6.18,289.7,0.5,0.0,0.0,0.0,0.0,1000.0,0.0
kloudknox,1,10,3,3448.42,2.04,290.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0
kloudknox,1,50,3,3448.74,5.85,290.0,0.8,0.0,0.0,0.0,0.0,1000.0,0.0
kloudknox,1,100,3,3446.97,10.48,290.0,0.8,0.0,0.0,0.0,0.0,1333.3,471.4
kloudknox,5,1,3,15267.46,44.66,327.7,0.9,0.0,0.0,0.0,0.0,1000.0,0.0
kloudknox,5,5,3,15233.66,36.91,328.0,0.8,0.0,0.0,0.0,0.0,1000.0,0.0
kloudknox,5,10,3,15217.53,9.73,328.7,0.5,0.0,0.0,0.0,0.0,1333.3,471.4
kloudknox,5,50,3,15245.10,15.62,328.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0
kloudknox,5,100,3,15189.12,46.85,329.3,1.2,0.0,0.0,0.0,0.0,1000.0,0.0
kloudknox,10,1,3,16391.06,16.91,610.0,0.8,1000.0,0.0,1000.0,0.0,1000.0,0.0
kloudknox,10,5,3,16341.68,26.24,612.0,0.8,1000.0,0.0,1000.0,0.0,1000.0,0.0
kloudknox,10,10,3,16382.97,27.49,610.3,0.9,1000.0,0.0,1000.0,0.0,1000.0,0.0
kloudknox,10,50,3,16395.64,57.12,609.7,2.1,1000.0,0.0,1000.0,0.0,1333.3,471.4
kloudknox,10,100,3,16379.42,39.06,610.7,1.7,1000.0,0.0,1000.0,0.0,1333.3,471.4
kloudknox,50,1,3,16391.74,0.49,3050.0,0.0,3000.0,0.0,4000.0,0.0,4000.0,0.0
kloudknox,50,5,3,16414.92,25.09,3046.3,4.7,3000.0,0.0,4000.0,0.0,4000.0,0.0
kloudknox,50,10,3,16327.47,73.85,3062.3,13.7,3000.0,0.0,4000.0,0.0,4333.3,471.4
kloudknox,50,50,3,16333.40,39.36,3061.0,7.3,3000.0,0.0,4000.0,0.0,4000.0,0.0
kloudknox,50,100,3,16419.00,16.38,3045.3,3.1,3000.0,0.0,4000.0,0.0,4666.7,942.8
kloudknox,100,1,3,16276.79,35.93,6144.0,13.5,6000.0,0.0,7000.0,0.0,7666.7,471.4
kloudknox,100,5,3,16198.72,123.51,6173.7,47.3,6000.0,0.0,7000.0,0.0,7666.7,942.8
kloudknox,100,10,3,16332.45,17.60,6123.0,6.7,6000.0,0.0,7000.0,0.0,7000.0,0.0
kloudknox,100,50,3,16233.19,71.16,6160.7,27.0,6000.0,0.0,7000.0,0.0,7666.7,471.4
kloudknox,100,100,3,16266.71,62.85,6147.7,23.8,6000.0,0.0,7000.0,0.0,7333.3,471.4
