label,rule_count,trial,total_reqs,rps,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,failed,transfer_kbps
kloudknox,10,1,200000,9017.06,110901.0,102000.0,127000.0,138000.0,193000.0,2124000.0,0,1505.78
kloudknox,10,2,200000,9989.56,100104.0,89000.0,101000.0,120000.0,1081000.0,2085000.0,0,1668.18
kloudknox,10,3,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00
kloudknox,50,1,200000,9827.84,101752.0,91000.0,109000.0,131000.0,1066000.0,3538000.0,0,1641.17
kloudknox,50,2,200000,10148.35,98538.0,90000.0,102000.0,120000.0,1074000.0,2145000.0,0,1694.70
kloudknox,50,3,200000,7657.28,130595.0,108000.0,159000.0,179000.0,1140000.0,2193000.0,0,1278.71
kloudknox,100,1,200000,9206.21,108622.0,88000.0,129000.0,162000.0,1102000.0,2150000.0,0,1537.36
kloudknox,100,2,200000,7446.28,134295.0,116000.0,172000.0,186000.0,1136000.0,3385000.0,0,1243.47
kloudknox,100,3,200000,9874.74,101268.0,96000.0,104000.0,107000.0,366000.0,3459000.0,0,1649.00
kloudknox,250,1,200000,9559.92,104603.0,97000.0,117000.0,132000.0,175000.0,1215000.0,0,1596.43
kloudknox,250,2,200000,10204.35,97997.0,88000.0,98000.0,113000.0,1092000.0,2116000.0,0,1704.05
kloudknox,250,3,200000,9472.47,105569.0,89000.0,124000.0,153000.0,1093000.0,2081000.0,0,1581.83
