label,concurrency,rule_count,avg_agent_cpu,std_agent_cpu,avg_agent_mem,std_agent_mem,avg_node_cpu,std_node_cpu,avg_node_mem,std_node_mem,samples
kloudknox,1,1,17.74,1.27,146.0,4.8,1.0,0.2,2754.7,17.3,30
kloudknox,1,5,17.84,1.54,146.9,0.2,1.1,0.2,2721.0,13.1,30
kloudknox,1,10,17.84,1.99,151.6,0.6,1.0,0.2,2732.8,11.6,30
kloudknox,1,50,18.07,2.72,157.9,0.3,1.0,0.2,2749.4,10.6,30
kloudknox,1,100,18.17,2.98,166.6,0.2,1.1,0.3,2747.4,12.1,30
kloudknox,5,1,74.31,4.48,141.8,0.7,4.0,0.4,2726.0,10.5,9
kloudknox,5,5,74.46,5.02,147.7,0.1,3.8,0.1,2720.3,4.7,9
kloudknox,5,10,74.97,4.59,152.9,0.2,4.0,0.3,2739.2,7.0,9
kloudknox,5,50,74.57,3.28,158.6,0.5,4.0,0.2,2756.9,8.3,9
kloudknox,5,100,75.44,6.12,167.1,0.1,4.1,0.4,2754.8,8.4,9
kloudknox,10,1,77.51,3.91,143.6,0.1,4.3,0.2,2722.8,8.3,9
kloudknox,10,5,77.28,4.49,148.9,0.6,4.2,0.2,2742.1,9.4,9
kloudknox,10,10,79.23,5.17,153.7,0.1,4.2,0.3,2741.3,5.7,9
kloudknox,10,50,79.14,5.11,160.4,0.7,4.1,0.2,2741.9,10.4,9
kloudknox,10,100,77.44,4.61,168.9,0.7,4.3,0.4,2775.0,13.5,9
kloudknox,50,1,76.01,4.31,144.1,0.5,4.3,0.3,2669.7,21.5,9
kloudknox,50,5,75.87,2.66,150.3,0.5,4.3,0.2,2674.1,23.9,9
kloudknox,50,10,76.09,5.80,155.3,0.6,4.3,0.2,2691.9,35.2,9
kloudknox,50,50,78.15,6.13,162.2,0.4,4.3,0.2,2688.3,22.7,9
kloudknox,50,100,78.13,4.63,171.0,0.6,4.2,0.1,2702.6,32.1,9
kloudknox,100,1,75.62,4.58,145.2,0.2,4.2,0.2,2678.0,23.2,9
kloudknox,100,5,76.05,2.90,150.7,0.0,4.4,0.3,2677.8,17.1,9
kloudknox,100,10,75.91,3.00,156.6,0.3,4.5,0.4,2682.1,18.3,9
kloudknox,100,50,75.02,4.75,164.8,1.2,4.3,0.2,2701.8,18.7,9
kloudknox,100,100,77.98,6.65,172.9,0.0,4.4,0.3,2702.2,14.2,9
