label,rule_count,trial,ops_sec,latency_us,N
kloudknox,10,1,28239.8,35.4110,1000
kloudknox,10,2,28387.6,35.2267,1000
kloudknox,10,3,28123.3,35.5577,1000
kloudknox,50,1,27849.6,35.9071,1000
kloudknox,50,2,28130.7,35.5484,1000
kloudknox,50,3,28115.4,35.5677,1000
kloudknox,100,1,28228.4,35.4253,1000
kloudknox,100,2,28364.9,35.2549,1000
kloudknox,100,3,27992.3,35.7241,1000
kloudknox,500,1,28098.4,35.5892,1000
kloudknox,500,2,27636.9,36.1835,1000
kloudknox,500,3,27949.7,35.7785,1000
kloudknox,1000,1,27632.9,36.1887,1000
kloudknox,1000,2,28277.1,35.3643,1000
kloudknox,1000,3,27691.2,36.1126,1000
