label,concurrency,rule_count,trials,avg_rps,std_rps,avg_mean_us,std_mean_us,avg_p50_us,std_p50_us,avg_p99_us,std_p99_us,avg_max_us,std_max_us
tetragon,1,1,3,3690.42,7.56,270.7,0.5,0.0,0.0,0.0,0.0,1000.0,0.0
tetragon,1,5,3,3584.34,2.17,279.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0
tetragon,1,10,3,3496.32,14.23,286.3,1.2,0.0,0.0,0.0,0.0,1000.0,0.0
tetragon,1,50,3,2396.73,1.46,417.3,0.5,0.0,0.0,0.0,0.0,1333.3,471.4
tetragon,1,100,3,1290.83,3.22,774.7,1.9,1000.0,0.0,1000.0,0.0,1666.7,471.4
tetragon,5,1,3,17124.53,8.08,292.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0
tetragon,5,5,3,15280.24,14.28,327.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0
tetragon,5,10,3,13242.85,5.50,377.3,0.5,0.0,0.0,0.0,0.0,1000.0,0.0
tetragon,5,50,3,5495.21,8.80,910.0,1.6,1000.0,0.0,1000.0,0.0,2000.0,0.0
tetragon,5,100,3,1953.88,9.07,2559.3,11.9,2666.7,471.4,3000.0,0.0,3333.3,471.4
tetragon,10,1,3,18485.71,25.74,541.0,0.8,1000.0,0.0,1000.0,0.0,1000.0,0.0
tetragon,10,5,3,15828.70,5.05,631.7,0.5,1000.0,0.0,1000.0,0.0,1000.0,0.0
tetragon,10,10,3,13415.45,69.40,745.3,4.0,1000.0,0.0,1000.0,0.0,1000.0,0.0
tetragon,10,50,3,5497.71,8.19,1819.0,2.8,2000.0,0.0,2000.0,0.0,3000.0,0.0
tetragon,10,100,3,1978.43,12.16,5054.7,31.3,5000.0,0.0,6000.0,0.0,7333.3,471.4
tetragon,50,1,3,18527.29,6.51,2698.7,0.9,3000.0,0.0,3000.0,0.0,3333.3,471.4
tetragon,50,5,3,15862.91,20.04,3152.0,3.7,3000.0,0.0,4000.0,0.0,4333.3,471.4
tetragon,50,10,3,13437.31,13.65,3721.0,3.6,4000.0,0.0,4000.0,0.0,5000.0,0.0
tetragon,50,50,3,5528.60,9.31,9043.7,15.1,9000.0,0.0,11000.0,0.0,12333.3,471.4
tetragon,50,100,3,2024.20,8.50,24701.7,103.8,24333.3,471.4,33000.0,0.0,35000.0,816.5
tetragon,100,1,3,18349.66,35.68,5449.7,10.9,5000.0,0.0,6000.0,0.0,7000.0,0.0
tetragon,100,5,3,15747.90,33.49,6349.7,13.5,6000.0,0.0,7000.0,0.0,8000.0,0.0
tetragon,100,10,3,13386.27,56.43,7470.3,31.7,7000.0,0.0,8000.0,0.0,9333.3,471.4
tetragon,100,50,3,5513.21,4.24,18138.3,14.2,18000.0,0.0,19666.7,471.4,23333.3,471.4
tetragon,100,100,3,2034.05,10.28,49164.7,249.4,49000.0,0.0,58666.7,471.4,62333.3,471.4
