label,rule_count,trial,total_reqs,rps,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,failed,transfer_kbps
tetragon,10,1,200000,7187.43,139132.0,132000.0,151000.0,174000.0,212000.0,1243000.0,0,1200.24
tetragon,10,2,200000,7848.80,127408.0,122000.0,137000.0,141000.0,192000.0,1189000.0,0,1310.69
tetragon,10,3,200000,7044.51,141954.0,130000.0,184000.0,203000.0,249000.0,2149000.0,0,1176.38
tetragon,50,1,200000,2735.81,365522.0,367000.0,375000.0,380000.0,466000.0,614000.0,0,456.86
tetragon,50,2,200000,2695.80,370948.0,374000.0,391000.0,432000.0,511000.0,587000.0,0,450.18
tetragon,50,3,200000,2530.08,395245.0,381000.0,460000.0,504000.0,552000.0,591000.0,0,422.50
tetragon,100,1,200000,1318.04,758703.0,756000.0,783000.0,786000.0,823000.0,1019000.0,0,220.10
tetragon,100,2,200000,1498.47,667349.0,654000.0,690000.0,719000.0,763000.0,919000.0,0,250.23
tetragon,100,3,200000,1547.23,646316.0,643000.0,650000.0,653000.0,729000.0,895000.0,0,258.38
tetragon,250,1,200000,644.71,1551076.0,1522000.0,1611000.0,1634000.0,1810000.0,1986000.0,0,107.66
tetragon,250,2,200000,562.58,1777517.0,1758000.0,1824000.0,1860000.0,2048000.0,2183000.0,0,93.95
tetragon,250,3,200000,591.70,1690040.0,1737000.0,1809000.0,1860000.0,2008000.0,2098000.0,0,98.81
