label,rule_count,trial,ops_sec,latency_us,N
tetragon,10,1,71032.3,14.0781,1000
tetragon,10,2,70710.9,14.1421,1000
tetragon,10,3,72102.2,13.8692,1000
tetragon,50,1,70948.2,14.0948,1000
tetragon,50,2,70168.5,14.2514,1000
tetragon,50,3,71701.0,13.9468,1000
tetragon,100,1,71653.3,13.9561,1000
tetragon,100,2,70189.2,14.2472,1000
tetragon,100,3,71681.5,13.9506,1000
tetragon,500,1,72822.6,13.7320,1000
tetragon,500,2,72235.0,13.8437,1000
tetragon,500,3,72223.0,13.8460,1000
tetragon,1000,1,55753.5,17.9361,1000
tetragon,1000,2,55968.8,17.8671,1000
tetragon,1000,3,56085.2,17.8300,1000
