label,concurrency,trial,total_reqs,rps,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,failed,transfer_kbps
kloudknox,100,1,300000,26023.13,3.843,2,5,15,36,43,0,4472.73
kloudknox,200,1,300000,26052.42,7.677,5,18,33,38,49,0,4477.76
kloudknox,300,1,300000,26366.49,11.378,7,34,39,43,54,0,4531.74
kloudknox,400,1,300000,26608.53,15.033,11,40,45,50,272,0,4573.34
kloudknox,500,1,300000,27242.74,18.327,15,41,44,48,289,0,4682.35
kloudknox,100,2,300000,26096.09,3.832,2,5,19,28,43,0,4485.27
kloudknox,200,2,300000,25949.12,7.707,5,21,26,29,43,0,4460.00
kloudknox,300,2,300000,26119.42,11.473,9,26,31,36,73,0,4489.28
kloudknox,400,2,300000,26801.26,14.905,12,34,38,41,243,0,4606.47
kloudknox,500,2,300000,26889.36,18.595,14,35,42,48,269,0,4621.61
kloudknox,100,3,300000,25495.62,3.922,2,5,19,24,42,0,4382.06
kloudknox,200,3,300000,25653.78,7.791,5,20,29,35,48,0,4409.25
kloudknox,300,3,300000,26030.76,11.512,9,30,34,39,54,0,4474.04
kloudknox,400,3,300000,26782.60,14.935,10,37,41,46,262,0,4603.26
kloudknox,500,3,300000,27339.64,18.288,13,32,34,39,260,0,4699.00
