label,rule_count,trial,ops_sec,latency_us,N
falco,10,1,2003.6,499.0909,1000
falco,10,2,1961.1,509.9091,1000
falco,10,3,2001.1,499.7273,1000
falco,50,1,2006.9,498.2727,1000
falco,50,2,2006.9,498.2727,1000
falco,50,3,2001.1,499.7273,1000
falco,100,1,2004.4,498.9091,1000
falco,100,2,2005.3,498.6667,1000
falco,100,3,2003.3,499.1818,1000
falco,500,1,1949.0,513.0909,1000
falco,500,2,2095.5,477.2174,1000
falco,500,3,2265.0,441.5101,1000
falco,1000,1,2000.8,499.8095,1000
falco,1000,2,2005.5,498.6364,1000
falco,1000,3,2004.4,498.9091,1000
