label,rule_count,trial,ops_sec,latency_us,N
kloudknox,10,1,1858.7,538.0000,1000
kloudknox,10,2,1984.9,503.8095,1000
kloudknox,10,3,1997.6,500.5909,1000
kloudknox,50,1,1958.3,510.6522,1000
kloudknox,50,2,1950.6,512.6667,1000
kloudknox,50,3,1992.8,501.8095,1000
kloudknox,100,1,1998.5,500.3636,1000
kloudknox,100,2,1943.7,514.4762,1000
kloudknox,100,3,1949.7,512.9048,1000
kloudknox,500,1,1994.9,501.2727,1000
kloudknox,500,2,1997.9,500.5238,1000
kloudknox,500,3,1998.5,500.3810,1000
kloudknox,1000,1,1996.0,501.0000,1000
kloudknox,1000,2,1996.0,501.0000,1000
kloudknox,1000,3,1946.1,513.8571,1000
