label,rule_count,trial,ops_sec,latency_us,N
tetragon,10,1,2001.6,499.5909,1000
tetragon,10,2,1955.9,511.2857,1000
tetragon,10,3,1954.6,511.6190,1000
tetragon,50,1,2006.2,498.4545,1000
tetragon,50,2,2001.9,499.5238,1000
tetragon,50,3,1957.3,510.9091,1000
tetragon,100,1,2004.7,498.8182,1000
tetragon,100,2,2002.3,499.4286,1000
tetragon,100,3,1954.9,511.5238,1000
tetragon,500,1,2003.1,499.2273,1000
tetragon,500,2,2002.2,499.4545,1000
tetragon,500,3,2001.8,499.5455,1000
tetragon,1000,1,2002.2,499.4545,1000
tetragon,1000,2,1917.0,521.6364,1000
tetragon,1000,3,2001.3,499.6667,1000
